r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_15,r_16,r_17,r_18,r_19,r_20,r_21,r_22,r_23,r_24,r_25,r_26,r_27,r_28,r_29,r_30,r_31,r_32,r_33,r_34,r_35,r_36,r_37
0.5573035,0.5646265,0.5590213,0.5713781,0.5728479,0.5652793,0.5693814,0.5699122,0.5676833,0.5510655,0.5535166,0.5674537,0.5598204,0.5578139,0.5600849,0.5734567,0.5625584,0.5658363,0.5632595,0.5695982,0.5672966,0.5675796,0.5656933,0.5675911,0.5566472,0.5650581,0.5679198,0.5678924,0.573537,0.5578604,0.5696614,0.5600859,0.5658,0.5553118,0.5610561,0.5662163,0.5562864,0.5560429
0.5583113,0.5651859,0.5622812,0.5728624,0.5732358,0.5652793,0.5693814,0.5706234,0.5676833,0.5585226,0.5537675,0.5678494,0.5625822,0.5595171,0.5640448,0.5734567,0.5625584,0.5706125,0.5660385,0.5697022,0.5685719,0.5675796,0.5656933,0.5677066,0.5635521,0.5653867,0.5683202,0.5678943,0.5758528,0.559704,0.5700048,0.5603462,0.5675307,0.555969,0.561939,0.5670273,0.5589548,0.5581698
0.5583113,0.5651859,0.5643418,0.5728624,0.5732358,0.5654302,0.5708986,0.5706234,0.5686153,0.5585226,0.5537675,0.5678494,0.5625822,0.5595171,0.5640448,0.5746476,0.5660684,0.5706125,0.5660385,0.5697022,0.5685719,0.569829,0.5660463,0.5677066,0.5635521,0.5653867,0.5683202,0.5678943,0.5758528,0.559704,0.5700048,0.5603462,0.5675307,0.559492,0.561939,0.5670273,0.5589548,0.559556
0.5596527,0.5665375,0.5643418,0.5737803,0.5736511,0.5654302,0.5732686,0.5711321,0.5687573,0.5611378,0.5611997,0.5728232,0.5638979,0.5596639,0.566414,0.5746476,0.5660684,0.5719766,0.5664069,0.5704964,0.569104,0.569829,0.5660657,0.5691687,0.5635613,0.5670027,0.5700957,0.5686152,0.5765688,0.5610686,0.5700492,0.5613887,0.5692879,0.559492,0.5621516,0.5675459,0.5657551,0.559556
0.5596527,0.5665375,0.5671039,0.5737803,0.5736511,0.565758,0.5732686,0.5711321,0.5687573,0.5632515,0.5611997,0.5728232,0.5645533,0.5596639,0.5669021,0.5747313,0.5663975,0.5719766,0.5664069,0.5704964,0.569104,0.5701304,0.5660657,0.5695731,0.5635613,0.5670027,0.5700957,0.5686152,0.5765688,0.5610686,0.5707554,0.5613887,0.5692879,0.5619224,0.5621516,0.5675459,0.5657551,0.562043
0.5601566,0.5692001,0.5671039,0.5743705,0.5750134,0.565758,0.5755243,0.5711457,0.568812,0.5632515,0.5632619,0.5741475,0.5659586,0.5612926,0.5669021,0.5747313,0.5663975,0.5734226,0.5679518,0.5720942,0.5706985,0.5701304,0.5671813,0.5695731,0.5642772,0.5676681,0.5735948,0.569456,0.5771762,0.563822,0.5707554,0.5639409,0.5704354,0.5623195,0.5629695,0.5681142,0.5676891,0.563545
0.5601566,0.5692001,0.5689734,0.5743705,0.5755446,0.5693477,0.5755243,0.5711457,0.568812,0.5666322,0.5632619,0.5741475,0.5668403,0.5612926,0.5676899,0.5754718,0.5674958,0.5734226,0.5679518,0.5720942,0.5706985,0.5710285,0.571316,0.5721757,0.5642772,0.5676681,0.5735948,0.569456,0.5771762,0.563822,0.5717589,0.5639409,0.5712685,0.5623195,0.5629695,0.5681142,0.5676891,0.563545
0.5606325,0.5738652,0.5702697,0.5776399,0.5755446,0.5693477,0.5763067,0.572302,0.5702416,0.5666322,0.5701206,0.574533,0.5668403,0.5655128,0.5676899,0.5781787,0.5674958,0.5762599,0.5706731,0.5726419,0.5712331,0.5710285,0.5721161,0.5721757,0.5703387,0.5682499,0.5738103,0.5696047,0.5785194,0.5642227,0.5717589,0.5641162,0.5728681,0.563279,0.5633085,0.5692324,0.5695906,0.5684609
0.5606325,0.5738652,0.5723187,0.5776399,0.5762289,0.5719093,0.5763067,0.572302,0.5702416,0.5672315,0.5701206,0.574533,0.5674006,0.5655128,0.5701213,0.5781787,0.5682117,0.5762599,0.5706731,0.5726419,0.5712331,0.5715415,0.5721161,0.5728011,0.5703387,0.5688819,0.5738103,0.5696047,0.5785194,0.5642227,0.5760613,0.5641162,0.5728681,0.5639088,0.5633085,0.5692324,0.5695906,0.5684609
0.5607126,0.5746224,0.5728379,0.5793202,0.5762289,0.5719093,0.5765299,0.5727128,0.5712382,0.5672315,0.5701566,0.5748951,0.5674006,0.5658203,0.5701213,0.5786393,0.5682117,0.5765601,0.5709251,0.5755276,0.5728973,0.5715415,0.5721644,0.5728011,0.5705348,0.5688819,0.576419,0.5700952,0.5789335,0.5656505,0.5760613,0.5649198,0.5735059,0.5639088,0.5644415,0.5706106,0.5702436,0.5688233
0.5660786,0.5746224,0.5728379,0.5793202,0.5763635,0.5741534,0.5765299,0.5727128,0.5712382,0.5674021,0.5701566,0.5748951,0.5677882,0.5679901,0.5704119,0.5786393,0.5685634,0.5765601,0.5709251,0.5755276,0.5728973,0.5716522,0.5721644,0.5768191,0.5705348,0.5731467,0.576419,0.5700952,0.5795761,0.5656505,0.5764681,0.5654704,0.5735059,0.564904,0.5646243,0.5706106,0.5702436,0.5688233
0.5660786,0.5750569,0.5735407,0.579584,0.5763635,0.5741534,0.5768424,0.5730541,0.5755514,0.5711776,0.5730846,0.5752055,0.5677882,0.5679901,0.5704119,0.5787766,0.5685634,0.5765705,0.5729954,0.5755452,0.5730782,0.5716522,0.5730449,0.5768191,0.5709502,0.5731467,0.5764843,0.5706097,0.5795761,0.567483,0.5775962,0.5654704,0.5742142,0.564904,0.5651265,0.5707752,0.5707933,0.5694383
0.5662436,0.5750569,0.5735407,0.579584,0.5765276,0.5745619,0.5768424,0.5730541,0.5780436,0.5711776,0.5730846,0.5752055,0.5755883,0.5688384,0.5705991,0.5787766,0.5695759,0.5766685,0.5729954,0.5755452,0.5730782,0.5719646,0.5730449,0.5807204,0.5709502,0.5746087,0.5764843,0.5706097,0.5797076,0.567483,0.5775962,0.5674334,0.5742142,0.5654447,0.5651265,0.5707752,0.5707933,0.5694383
0.5662436,0.5752544,0.5738195,0.5819383,0.5765276,0.5745619,0.5771213,0.5738449,0.5780436,0.5724937,0.5731866,0.5757434,0.5755883,0.5688384,0.5705991,0.5791766,0.5695759,0.5766685,0.5754131,0.5757958,0.5735363,0.5719646,0.5737455,0.5807204,0.5713636,0.5747473,0.5765666,0.5793379,0.5797076,0.567673,0.5790108,0.5705497,0.5757067,0.5660579,0.5678357,0.5727316,0.5716043,0.5695792
0.5670473,0.5752544,0.5738195,0.5819383,0.5789085,0.5757045,0.5771213,0.5738449,0.5782344,0.5724937,0.5731866,0.5757434,0.577544,0.570945,0.5707937,0.5791766,0.5696746,0.576684,0.5754131,0.5757958,0.5735363,0.5720964,0.5737455,0.5814537,0.5713636,0.5747473,0.5778296,0.5793791,0.5801039,0.567673,0.5790108,0.5705497,0.5757067,0.5667907,0.5678357,0.5727316,0.5716043,0.5695792
0.5670473,0.5761587,0.5744584,0.5825447,0.5810635,0.5757045,0.5771273,0.5740914,0.5782344,0.5758576,0.5756667,0.5762713,0.577544,0.5714401,0.5713649,0.579489,0.5696746,0.576684,0.5758533,0.5765749,0.5760963,0.5720964,0.5739572,0.5830494,0.5726467,0.5748378,0.5778296,0.5793791,0.5801039,0.5682298,0.5794043,0.5706467,0.5765042,0.5667907,0.5708241,0.5737458,0.5726615,0.5696361
0.5688083,0.5781996,0.5746666,0.5825447,0.5810635,0.5757243,0.5771273,0.5740914,0.5802298,0.5758576,0.5756667,0.5762713,0.578558,0.5714401,0.5713649,0.5825151,0.5715028,0.5778218,0.5758533,0.5765749,0.5788389,0.5722026,0.5739572,0.5830494,0.572678,0.5748378,0.5788167,0.579525,0.5805375,0.5682298,0.5794043,0.5706467,0.5775726,0.5676561,0.5708241,0.5737458,0.5726615,0.5703857
0.5688083,0.5781996,0.5763213,0.5827609,0.5810931,0.5757243,0.5808253,0.5750546,0.5802298,0.5766382,0.5767382,0.5765097,0.578558,0.5724853,0.5722777,0.5825151,0.5725721,0.5778218,0.5761604,0.5772694,0.5801345,0.5723633,0.5743522,0.5858309,0.572678,0.5758513,0.5788167,0.579525,0.5805375,0.570094,0.5803259,0.5708254,0.5775726,0.5676561,0.5709401,0.5737695,0.5749493,0.5703857
0.568892,0.5792559,0.5763213,0.5827609,0.5810931,0.5764271,0.5808253,0.5750546,0.5806619,0.5766382,0.5767382,0.5772453,0.5788599,0.5724853,0.5722777,0.5842979,0.5727654,0.5784602,0.5761604,0.5775481,0.5801345,0.5723633,0.5743522,0.5858309,0.5727714,0.5758513,0.5797352,0.5799893,0.5805639,0.570094,0.5803259,0.5708254,0.5778232,0.5683336,0.5709401,0.5737695,0.5749493,0.5714445
